company_name,industry,employee_count,annual_revenue_millions_usd,description,is_good_lead
"Medina, Summers and Higgins LLC",Media & Entertainment,400,172,A Media & Entertainment company focused on whiteboard mission-critical vortals,0
Davis PLC LLC,Food & Beverage,401,59,A Food & Beverage company focused on redefine global architectures,1
Perez Group LLC,Retail,66,82,A Retail company focused on transform out-of-the-box relationships,1
"Warren, Melendez and Garcia Group",Automotive,5,1,A Automotive company focused on architect extensible supply-chains,0
Rodriguez Group LLC,Telecommunications,811,91,A Telecommunications company focused on aggregate bleeding-edge synergies,0
"Rogers, White and Cantu LLC",Cosmetics,7,3,A Cosmetics company focused on benchmark turn-key e-commerce,0
"Russo, Watson and Ramirez Solutions",Biotechnology,606,165,A Biotechnology company focused on aggregate dynamic models,1
Joyce Ltd LLC,Retail,411,107,A Retail company focused on syndicate synergistic infrastructures,1
Ross-Mason LLC,Cybersecurity,603,64,A Cybersecurity company focused on e-enable rich architectures,1
Gaines-Jimenez LLC,Fashion & Apparel,104,54,A Fashion & Apparel company focused on synthesize 24/365 architectures,0
"Cooper, Anderson and Ortiz LLC",Consumer Electronics,981,7,A Consumer Electronics company focused on brand impactful synergies,0
Harris Inc LLC,Software,375,69,A Software company focused on engage viral vortals,1
Cross-Wells LLC,Cybersecurity,870,59,A Cybersecurity company focused on expedite viral synergies,1
Vargas-Zhang Group,Investment Management,8,2,A Investment Management company focused on engineer out-of-the-box paradigms,0
"Huber, Reyes and Garcia Solutions",Retail,207,122,A Retail company focused on target killer architectures,1
Austin-Reid Group,Cosmetics,648,183,A Cosmetics company focused on implement revolutionary communities,0
"Franklin, Schneider and Allen LLC",Legal Services,288,58,A Legal Services company focused on syndicate turn-key systems,1
"Daniel, Valdez and Phillips Solutions",Media & Entertainment,762,178,A Media & Entertainment company focused on morph value-added technologies,0
Carr-Gibson Inc.,Wellness and Fitness,728,82,A Wellness and Fitness company focused on drive revolutionary synergies,1
Arias Ltd Inc.,HealthTech,687,9,A HealthTech company focused on engineer cutting-edge platforms,1
Kidd Inc Group,Staffing & Recruiting,414,114,A Staffing & Recruiting company focused on reinvent end-to-end metrics,1
Henry-Barnes Inc.,Food & Beverage,953,79,A Food & Beverage company focused on grow compelling e-business,1
Woodard Inc Solutions,Retail,677,78,A Retail company focused on scale cross-media initiatives,1
Wright-Park Inc.,Banking,5,2,A Banking company focused on empower one-to-one eyeballs,0
Green Inc Solutions,Mining,590,116,A Mining company focused on cultivate user-centric relationships,1
Johnson-Myers Solutions,Software,7,1,A Software company focused on aggregate visionary content,0
Smith-Richardson LLC,Retail,6,3,A Retail company focused on deliver 24/7 schemas,0
Porter-Smith Inc.,Oil & Gas,5,3,A Oil & Gas company focused on reinvent 24/365 info-mediaries,0
"Sanders, Rollins and Randolph Solutions",Consumer Electronics,8,3,A Consumer Electronics company focused on brand revolutionary bandwidth,0
Chang-Valdez Group,HealthTech,268,11,A HealthTech company focused on incubate dot-com channels,1
